"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo plenamente","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Discordo","Concordo","Concordo plenamente","sem resposta","Discordo totalmente","Concordo","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","KACILENE ALVES ROCHA"
"","Concordo","Concordo","Concordo","Discordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","LUCIANA PINHEIRO ALVES SANTOS"
"","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo plenamente","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","ILVAN Andre Silva"
"","Concordo","Concordo","Concordo","Concordo","nada a falar","Concordo","Concordo","Concordo","Concordo","nada a falar","Não concordo nem discordo","Discordo","Concordo plenamente","Concordo","nada a falar","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo plenamente","nada reclamar","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","nada reclamar","Não concordo nem discordo","Concordo","Discordo","Concordo","nada","Discordo","Concordo","Não concordo nem discordo","Concordo","Concordo","Concordo plenamente","nada","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","SARA ALVES PEREIRA"
"","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","ADILANE GOMES FERREIRA GIL"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Concordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Discordo totalmente","Discordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","Discordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","Leidiane Barbosa Rodrigues"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","ELENEUZA FERREIRA RIBEIRO MURTA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","Discordo","Discordo","sem resposta","Mantena","[D17] - Linguística - Letras Português","GISELLY GABRIELA MIRANDA DOS SANTOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","JOSIANA FERNANDES DA SILVA"
"","Discordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Discordo","sem resposta","Discordo","Concordo","Discordo","Discordo","sem resposta","Discordo","Concordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo totalmente","Concordo","Discordo","Discordo","Discordo","Discordo","sem resposta","Mantena","[D17] - Linguística - Letras Português","CELIO TEIXEIRA DE REZENDE"
"","Concordo","Concordo plenamente","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo plenamente","Concordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","PAULO RENATO MAIA MALVEIRA"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","As AC deveriam ser abertas na plataforma antecipadamente para o aluno se preparar e as vezes os professores não avaliam as ACs de todos os membros dos grupos","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Não concordo nem discordo","Discordo","Concordo","Discordo","As AS tem niveis de dificuldade maior que trabalhado na discoplina","Concordo","Concordo","Discordo","Discordo","Concordo","Concordo","sem resposta","Montes Claros","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","ELIENE RODRIGUES FERREIRA"
"","Concordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Discordo","Discordo","Discordo","material muito extenso para um curto período de tempo","Concordo","Concordo","Discordo","Discordo","sem resposta","Concordo","Discordo","Concordo","Discordo","durante algumas vezes presenciei indagações de colegas que não foram respondidas e quando o caso é ao contrário, o tutor pergunta algo e o aluno não responde é descontado algum ponto da nota do fórum","Discordo","Discordo","Discordo","Discordo","o WB sempre é transmitido em horários comerciais, portanto, grande parte dos alunos estão em seu ambiente de trabalho, impossibilitando a presença durante a transmissão.","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","necessidade de criação de um interface mais clara e objetiva.","Jequitinhonha","[D17] - Linguística - Letras Português","SILVINO MENDES DOS REIS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","LUIZ FERNANDO FERREIRA MONÇÃO"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Não concordo nem discordo","sem resposta","Concordo","Discordo","Concordo","Discordo","Boa noite alguma AC quase não deu o tempo para ser respondidos","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Discordo","tem WB quem não tem nada a ver com a prova","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Urucuia","[D15] - Metodologia do Futsal - Educação Física","GLEISON TEIXEIRA GANDA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo totalmente","Discordo totalmente","Discordo totalmente","Olá! Não deixo de fazer nenhum fórum, e mesmo assim fico sem nota em dois ou três fóruns em quase todas as matérias estudadas, e outra questão que vejo muito a turma achar muito ruim inclusive eu, é que as professoras colocam fóruns grandes alguns do tamanho de uma AI que geralmente vale nove pontos, as vezes com o mesmo conteúdo da AI a ser feita, valendo apenas três pontos, muito ruim no meu ponto de vista.","Concordo","Concordo","Concordo plenamente","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","já teve avaliações não me recordo bem quais foram que tinha questão que não haviamos estudado nem estudamos ainda, foram umas duas prova que aconteceram isso, de ter assunto não estudado cair nas avaliações","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","Tem professores com boa didática e outros que não conseguem passar o conteúdo de forma clara","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","JULIANA CRISTINA OLIVEIRA MARTINS"
"","Concordo","Discordo","Discordo","Concordo","As VA são ministradas com clareza e segurança, porém o tempo não é satisfatório e nem sempre são disponibilizados materiais para relevantes ao conteúdo.","Concordo","Concordo","Concordo","Concordo","As ACs são momentos especiais junto a turma para troca de conhecimento. São momentos de grande aprendizado.","Concordo","Não concordo nem discordo","Discordo","Discordo","As AIs têm sido sim uma aprendizagem autônoma, contudo o tempo não está compatível fazendo com que o seu objetivo não seja totalmente atingido.","Concordo","Discordo totalmente","Discordo","Discordo","Todas as questões abertas nos Fóruns foram ricas e relevantes, porém pela falta de um feedback não é possível avaliar a proporção da aprendizagem.","Concordo","Concordo","Concordo","Concordo","Esclareço que todos os WB foram de suma importância para minha aprendizagem, porém devem ser avaliados os horários de acontecimento devido muitos dos participantes estarem em horário de trabalho e a participação ao vivo para sanar dúvidas é que faz a diferença no WB.","Concordo","Concordo","Concordo","Concordo","As AS foram ministradas em compatibilidade com o conteúdo ministrado e em tempo acessível.","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo plenamente","Em todas as disciplinas são disponibilizadas o plano de ensino e todas as informações sobre seus conteúdos; todas as disciplinas são ministradas por profissionais altamente qualificados, sempre houve respeito e ética. Para que haja mais interação entre professor X aluno em sanar dúvidas, informações, deveria ser estipulado um prazo para respostas até porque todas as AI,AC,Fóruns têm prazo corrido para entrega e nem sempre as dúvidas/informações são esclarecidas em tempo.","Montes Claros","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","MEIRE DAMIAO VIEIRA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","Muitas das vezes ACs são itens iguais pra todos da turma e isso faz ficar repetitivo.","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","Alguns dos foruns nao geram discussoes e sao a mesma coisa das AC","Não concordo nem discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","Acho q a webnar deveria ficar disponivel pois nem sempre no horario qus acontece os alunos podem assistir","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Nao temos um fred back, uma sugestão seria disponibilizar o gabarito.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","KÊNIA SANTOS SILVA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","OZIEL ROCHA SOUSA"
"","Não concordo nem discordo","Discordo","Discordo","Concordo","As videoaulas deveriam ser mais explicativas, os professores passam muito tempo olhando para os slides. As aulas ficam longas e a gente fica com dificuldade para entender certos assuntos.","Discordo","Concordo","Não concordo nem discordo","Concordo","Na minha opinião as atividades colaborativas, poderiam ser melhor aproveitadas. Em muito dos casos quando os alunos estão fazendo uns fazem e outros ficam olhando, pra mim isso é desnecessário. Eu tenho tratamento Especial faço sozinha e aprendo muito mais do que quando fazia as atividades colaborativas juntamente com a turma.","Concordo","Concordo","Concordo plenamente","Concordo","As atividades individuais sem duvida são importantes e de grande valor de aprendizado. As vezes os professores explicam uma matéria e passa atividades diferentes do que ele explicou e nos ficamos perdidos sem entender.","Concordo","Concordo","Não concordo nem discordo","Concordo","As vezes no fórum fica muito vago o que o professor esta pedindo","Não concordo nem discordo","Não concordo nem discordo","Discordo","Discordo","A webnar acontece em horários que a parte da turma não esta muito disponível.","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","Acho que a nota da avaliação deveria ser repensada, aumentar a as atividades e distribuir mais nota nelas. E diminuir a nota da avaliação.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","JHENNEFER BARBOSA NEVES"
"","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Algumas VA, são muito curta sem clareza de acordo com objetivo que o professor deseja alcançar, as vezes o professor pede uma atividade e todos os alunos entende que é pra fazer de outro modo, então acho que o problemas não é dos alunos e sim um melhor engajamentos da parte do professor.","Concordo plenamente","Discordo","Concordo plenamente","Não concordo nem discordo","A falta de computador no polo as vezes deixa desejar, pois para fazer as AC, e postar precisamos de computadores e o polo não está com as maquinas em bom estado, então acabam atrasando e deixando a desejar algumas atividades.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Discordo","Discordo","Não concordo nem discordo","A WB sempre ocorre em horários que os alunos não tem disponibilidade, talvez seja uma falha do aluno mais também do professor, porque que fazemos a distancia é porque não temos tempo durante o dia.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","CASSIA APARECIDA SOUZA RAMOS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo","Em todas as atividades, incluindo a avaliação presencial, falta a correção ( feedback), não tem como saber quais questões estão erradas.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Montes Claros","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","PATRICIA ALVES MARTINS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Brasília de Minas","[D16] - Desenvolvimento de Sites para WEB - Sistemas para Internet","ITALO CLEMENTINO GONÇALVES DE ALMEIDA"
"","Discordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Brasília de Minas","[D16] - Desenvolvimento de Sites para WEB - Sistemas para Internet","FARLEY DURAES SANTANA"
"","Concordo","Concordo","Concordo","Concordo","Gosto muito da maneira de trabalho, as aulas são muito esclarecedoras. A minha unica critica é em relação as notas, ainda esta faltando nota do primeiro período na minha plataforma.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","HELEIKA FERREIRA DE OLIVEIRA"
"","Discordo","Discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Discordo totalmente","Concordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","ANA LÚCIA CARDOSO DE OLIVEIRA"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Videos aula de excelente qualidades.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","As atividades coloborativas objetiva o desenvolvimento do grupo.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Atividades individual desenvolver o aluno dentro dos seus limites de aprendizagem","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","O fórum de discussão tem objetivo de passa conhecimento e receber.","Concordo","Concordo","Concordo","Concordo","O webinar deveriar ser um roteiro do que for cair na prova presencial,sem perder o foco","Concordo","Concordo","Concordo","Não concordo nem discordo","As provas presencial está dentro do requisito exposto pelo professor.","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","A sala virtual de fácil acesso e bem organizada os conteúdos e disciplinas.","Joaíma","[D15] - Metodologia do Futsal - Educação Física","Denise Elias da Cruz"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Itamarandiba","[D17] - Linguística - Letras Português","LUZIENE ALVES DA SILVA"
"","Concordo","Concordo plenamente","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","CARLOS HUMBERTO SANTOS SILVA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo plenamente","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","Concordo plenamente","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","STELLA SENEN BRUNO RIBEIRO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo","Como nossa turma são poucos alunos, às vezes fica sobrecarregado quando exite muitos temas, pois temos que nos dividir em mais grupos ficando em duplas onde poderiam ter mais integrantes para ajudar na resolução da tarefa.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","Existe uma dificuldade geral dos alunos em acompanhar os WB ao vivo devido os horários sempre serem durante o dia","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Pompéu","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","MICHELE ALVES DA SILVA"
"","Concordo","Concordo","Concordo","Concordo","HOUVE NO 1º PERÍODO MATERIAL DESATUALIZADO QUANTO A QUESTÕES DE DIRETOS DOS SERVIDORES.","Concordo","Discordo","Concordo","Discordo","NA DISCIPLINA DE DIDÁTICA E METODOLOGIA O TEMPO TEM SIDO INSUFICIENTE. AS VEZES O ROTEIRO É UM POUCO CONFUSO.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","ANALICE OLIVEIRA DE SOUZA"
"","Concordo plenamente","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","LUCAS RODRIGUES DIAS"
"","Concordo","Concordo","Concordo","Não concordo nem discordo","seria interessante rever alguns audios das videos aulas som muito ruim","Concordo","Concordo","Concordo","Concordo","as atividades possibilitam interessao com o grupo muito bom","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","alguns professores disponibilizan muitos arquivos para uma atividade individual acredito q dificulta demais e com isso o que realmente precisa aprender na matéria de prova se perde no meio de tanto material didático...Ler é muito importante mas o tempo para realizar algumas atividades precisaria de uma discussão de todo o material absorvido","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Bom o nome ja diz forum de discurssao e não espaço para atividades o qual muitas vezes acontecem o fórum é pra dar opinião questionar....","Concordo","Concordo","Concordo","Concordo plenamente","webinar é uma revisão do conteúdo superficial e alguns professores se apresentam no webinar apenas esperando que seja feita perguntas...e como os horarios do webinar não favorecem a todos para poder acompanhar dificulta essa revisão que as vezes não terá nenhum aluno para questionar o professor","Concordo","Concordo","Concordo","Concordo","as provas deveriam ter um feedback para agente poder saber os nossos erros e buscar aprofundar mais","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","muito bom","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","EDINALVA RAMOS CARNEIRO LOPES"
